Player,Team,Height,Shoes,Salary,AveragePoints,ThreePointPercentage,FreeThrowPercentage
Evan Fournier,ORL,6-7,Nike,"$17,000,000",15.1,34.0,80.6
Aaron Gordon,ORL,6-9,Nike,"$21,590,909",16.0,34.9,73.1
Jonathan Isaac,ORL,6-10,Nike,"$4,969,080",9.6,32.3,81.5
Terrence Ross,ORL,6-7,Nike,"$10,500,000",15.1,38.3,87.5
Nikola Vucevic,ORL,7-0,Nike,"$12,750,000",20.8,36.4,78.9
Jerian Grant,ORL,6-4,Under_Armour,"$2,639,313",4.2,36.4,65.0
Joel Embiid,PHI,7-0,Under_Armour,"$25,467,250",27.5,30.0,80.4
Ben Simmons,PHI,6-10,Nike,"$6,434,520",16.9,0.0,60.0
Jimmy Butler,PHI,6-8,Jordan,"$19,841,627",18.7,34.7,85.5
Tobias Harris,PHI,6-9,Nike,"$14,800,000",20.0,39.7,86.6
Boban Marjanovic,PHI,7-3,Nike,"$9,490,740",7.3,40.0,74.8
Mike Scott,PHI,6-8,Nike,"$4,320,500",5.8,40.1,66.7
Devin Booker,PHX,6-6,Nike,"$3,314,365",26.6,32.6,86.6
Josh Jackson,PHX,6-8,Under_Armour,"$6,041,520",11.5,32.4,67.1
Deandre Ayton,PHX,7-1,Puma,"$8,175,840",16.3,0.0,74.6
Mikal Bridges,PHX,6-7,Nike,"$3,557,400",8.3,33.5,80.5
Richaun Holmes,PHX,6-10,Nike,"$1,600,520",8.2,0.0,73.1
Jamal Crawford,PHX,6-5,Adidas,"$4,698,113",7.9,33.2,84.5
Al-Farouq Aminu,POR,6-9,Nike,"$6,957,105",9.4,34.3,86.7
Zach Collins,POR,7-0,Nike,"$3,628,920",6.6,33.1,74.6
Jake Layman,POR,6-9,Adidas,"$1,544,951",7.6,32.6,70.4
Meyers Leonard,POR,7-1,Nike,"$10,595,506",5.9,45.0,84.3
Damian Lillard,POR,6-3,Adidas,"$27,977,689",25.8,36.9,91.2
Jusuf Nurkic,POR,7-0,Nike,"$11,111,111",15.6,10.3,77.3
Evan Turner,POR,6-7,Li_Ning,"$17,868,853",6.8,21.2,70.8
Seth Curry,POR,6-2,Under_Armour,"$2,795,000",7.9,45.0,84.6
Rodney Hood,POR,6-8,Nike,"$3,472,887",11.2,35.6,88.4
Enes Kanter,POR,6-11,Nike,"$19,264,603",13.7,29.4,78.7
Bogdan Bogdanovic,SAC,6-6,Nike,"$9,000,000",14.1,36.0,82.7
Willie Cauley-Stein,SAC,7-0,Nike,"$4,696,874",11.9,50.0,55.1
Buddy Hield,SAC,6-4,Nike,"$3,833,760",20.7,42.7,88.6
Yogi Ferrell,SAC,6-0,Adidas,"$3,000,000",5.9,36.2,89.6
Nemanja Bjelica,SAC,6-10,Adidas,"$6,500,000",9.6,40.1,76.1
Alec Burks,SAC,6-6,Adidas,"$11,536,515",8.8,36.3,82.3
Harrison Barnes,SAC,6-8,Nike,"$24,107,258",16.4,39.5,82.4
LaMarcus Aldridge,SAS,6-11,Jordan,"$22,347,015",21.3,23.8,84.7
Davis Bertans,SAS,6-10,Adidas,"$7,000,000",8.0,42.9,88.3
Bryn Forbes,SAS,6-3,Nike,"$3,125,000",11.8,42.6,88.5
Rudy Gay,SAS,6-8,Puma,"$10,087,200",13.7,40.2,81.6
Derrick White,SAS,6-4,Nike,"$1,667,160",9.9,33.8,77.2
Marco Belinelli,SAS,6-5,Nike,"$6,153,846",10.5,37.2,90.3
Dante Cunningham,SAS,6-8,Nike,"$2,487,000",3.0,46.2,77.8
DeMar DeRozan,SAS,6-7,Nike,"$27,739,975",21.2,15.6,83.0
Jakob Poeltl,SAS,7-0,Nike,"$2,947,320",5.5,0.0,53.3
Derrick Favors,UTA,6-10,Adidas,"$16,900,000",11.8,21.8,67.5
Rudy Gobert,UTA,7-1,Nike,"$22,991,573",15.9,0.0,63.6
Joe Ingles,UTA,6-8,Nike,"$12,545,455",12.1,39.1,70.7
Donovan Mitchell,UTA,6-3,Adidas,"$3,111,480",23.8,36.2,80.6
Ricky Rubio,UTA,6-4,Adidas,"$14,800,000",12.7,31.1,85.5
Georges Niang,UTA,6-8,Nike,"$1,512,601",4.0,41.0,83.3
Jae Crowder,UTA,6-6,Nike,"$7,305,825",11.9,33.1,72.1
Kyle Korver,UTA,6-7,Nike,"$7,560,000",8.6,39.7,82.2
OG Anunoby,TOR,6-8,Nike,"$1,952,760",7.0,33.2,58.1
Serge Ibaka,TOR,6-10,Adidas,"$21,666,667",15.0,29.0,76.3
Kyle Lowry,TOR,6-1,Adidas,"$31,200,000",14.2,34.7,83.0
Norman Powell,TOR,6-4,Nike,"$9,367,200",8.6,40.0,82.7
Pascal Siakam,TOR,6-9,Nike,"$1,544,951",16.9,36.9,78.5
Fred VanVleet,TOR,6-0,Adidas,"$8,653,847",11.0,37.8,84.3
Kawhi Leonard,TOR,6-7,New_Balance,"$23,114,066",26.6,37.1,85.4
Danny Green,TOR,6-6,Puma,"$10,000,000",10.3,45.5,84.1
Marc Gasol,TOR,7-1,Nike,"$24,119,025",13.6,36.3,75.9
Jeremy Lin,TOR,6-3,Adidas,"$12,516,746",9.6,29.4,83.8
Bradley Beal,WAS,6-5,Nike,"$25,434,262",25.6,35.1,80.8
Tomas Satoransky,WAS,6-7,Adidas,"$3,129,187",8.9,39.5,81.9
Jeff Green,WAS,6-9,Jordan,"$2,393,887",12.3,34.7,88.8
Thomas Bryant,WAS,6-11,Nike,"$1,378,242",10.5,33.3,78.1
Trevor Ariza,WAS,6-8,Nike,"$15,000,000",12.5,33.4,79.3
Jabari Parker,WAS,6-8,Jordan,"$20,000,000",14.5,31.3,71.2
